application_id|applicant_id|officer_id|admin|first_name|last_name|date_of_birth|gender|application_status
100000|26030746|1001|2|Declan|Mcconnell|1984/02/17|Female|Approved
100001|36747754|1002|4|Alfonso|Graves|1992/04/08|Female|Pending
100002|57681566|1005|2|Marshall|Bradford|1995/07/29|Male|Approved
100003|56064084|1007|3|Jonas|Ochoa|1995/10/13|Female|Pending
100004|10361676|1009|5|George|Chambers|1989/10/13|Female|Pending
100005|24301491|1001|1|Alden|Higgins|1982/03/24|Female|Approved
100006|54954523|1002|2|Quinn|Crane|1991/01/07|Female|Approved
100007|63940905|1005|3|Wylie|Burton|1989/02/28|Female|Pending
100008|31140939|1007|4|Giacomo|Haynes|2004/09/20|Male|Approved
100009|39893281|1009|5|Gary|Baldwin|1990/09/01|Male|Pending
100010|65607022|1001|2|Josiah|Bishop|1987/08/24|Male|Pending
100011|24852854|1002|4|Wayne|Rivers|2001/02/09|Male|Approved
100012|55478041|1005|2|Stewart|Horton|2000/02/17|Female|Pending
100013|51444818|1001|3|Patrick|Larson|1989/05/23|Male|Approved
100014|27005120|1002|5|Amery|Williamson|1994/09/07|Male|Pending
100015|17268041|1005|1|Fitzgerald|Lindsey|2002/01/14|Female|Pending
100016|40187104|1007|2|Logan|Blackburn|1992/12/22|Male|Approved
100017|23160552|1009|3|Patrick|Sawyer|2003/09/17|Male|Approved
100018|34777989|1001|4|Knox|Nguyen|1989/03/15|Female|Pending
100019|21822976|1002|5|Merritt|Coleman|1998/05/31|Female|Approved
100020|50302209|1005|2|Brent|Kim|1989/11/26|Female|Pending
100021|16588852|1007|4|Brody|Wyatt|2003/12/24|Male|Pending
100022|22173387|1009|2|Gavin|Cochran|1986/12/24|Male|Approved
100023|35967735|1001|3|Lev|Myers|1981/06/17|Female|Pending
100024|12561965|1002|5|Nigel|Flowers|1990/04/19|Male|Approved
100025|57509541|1005|1|Gregory|Zamora|2002/04/30|Female|Pending
100026|64817235|1007|2|August|Stevens|2002/01/19|Female|Pending
100027|26178318|1009|3|Harrison|Hammond|1999/12/20|Male|Approved
100028|62087367|1001|4|Chase|Weeks|1984/11/26|Male|Approved
100029|28367482|1002|5|Nathaniel|Mcdaniel|1989/10/28|Female|Pending
100030|28099984|1001|2|Caldwell|Poole|1988/02/17|Male|Approved
100031|69084573|1002|4|Brett|Ramos|1989/05/07|Female|Pending
100032|15153703|1005|2|Arden|Woodard|1990/11/14|Female|Pending
100033|37647101|1007|3|Brendan|Moses|2001/04/20|Male|Approved
100034|25728913|1009|5|Damian|Jimenez|1989/01/13|Male|Pending
100035|43922690|1005|1|Logan|Weeks|1982/01/22|Male|Approved
100036|59145564|1007|2|Griffith|Henson|1987/07/28|Female|Pending
100037|12072870|1009|3|Daquan|Mcknight|1999/03/29|Female|Pending
100038|34545784|1001|4|Raphael|Sellers|1993/11/07|Female|Approved
100039|48806200|1002|5|Arthur|Logan|1984/07/30|Female|Approved
100040|45946797|1005|2|James|Ellis|1996/01/10|Female|Pending
100041|35805426|1007|4|Carl|Adams|1994/06/04|Female|Approved
100042|47095761|1009|2|Castor|Sutton|1995/06/02|Male|Pending
100043|21210188|1001|3|Nasim|Mays|2002/11/12|Female|Pending
100044|22121703|1002|5|Hasad|Kim|1994/07/26|Male|Approved
100045|49734165|1005|1|Kibo|Leblanc|1995/12/26|Female|Pending
100046|67232295|1007|2|Lucian|Monroe|1980/08/18|Male|Approved
100047|30546830|1009|3|Devin|Hull|1992/10/14|Female|Pending
100048|56253446|1001|4|Leonard|Obrien|1981/08/25|Male|Pending
100049|35881334|1002|5|Carl|Schneider|2000/03/28|Female|Approved
100050|65227060|1005|2|Graham|Kelly|1986/01/04|Female|Approved
100051|23400816|1007|2|Giacomo|Spencer|1989/03/22|Male|Pending
100052|57562440|1009|4|Cadman|Morgan|1982/04/05|Male|Approved
100053|52642654|1001|2|Francis|Massey|1995/09/20|Male|Pending
100054|13223265|1002|3|Elijah|Lynch|1984/12/26|Male|Pending
100055|26538052|1005|5|Cole|Leach|1996/08/14|Male|Approved
100056|10274388|1007|1|Fitzgerald|Donaldson|1981/12/17|Male|Pending
100057|13820909|1009|2|Warren|Guzman|1983/02/07|Female|Approved
100058|54595634|1001|3|Ryder|Moody|1992/01/10|Male|Pending
100059|20175184|1002|4|Lyle|Hubbard|1992/10/31|Female|Pending
100060|24042926|1005|5|Quinn|Cantu|1988/12/13|Female|Approved
100061|63995272|1007|2|Lane|Fleming|1988/11/27|Female|Approved
100062|60249077|1009|4|Christian|Gamble|1983/01/10|Male|Pending
100063|49036348|1001|2|Oscar|Bowman|2004/11/25|Female|Approved
100064|13520108|1002|3|Ciaran|Bauer|1982/12/22|Female|Pending
100065|63002345|1005|5|Troy|Wiggins|1992/09/12|Female|Pending
100066|42514198|1007|1|Rigel|Carver|1994/07/22|Female|Approved
100067|35994521|1009|2|Clinton|Skinner|1983/10/01|Male|Pending
100068|61433340|1001|3|Xavier|Gaines|1997/07/09|Female|Approved
100069|67393090|1002|4|Lars|Sampson|1988/12/25|Male|Pending
100070|57198575|1005|5|Holmes|Tyson|1990/03/17|Female|Pending
100071|18018345|1007|2|Beck|Neal|2004/05/20|Male|Approved
100072|64174065|1009|4|Edan|Maxwell|1995/03/10|Male|Approved
100073|10660021|1001|2|Josiah|Pratt|1994/12/16|Female|Pending
100074|31013558|1002|3|Vance|Wilkins|1988/04/18|Male|Approved
100075|61082870|1005|5|Elvis|Weber|1986/04/02|Male|Pending
100076|12411340|1007|1|Ryan|Johns|1993/10/19|Female|Pending
100077|54619337|1009|2|Tanek|Reeves|1990/07/22|Male|Approved
100078|20186217|1001|3|Andrew|Burns|1993/03/13|Female|Pending
100079|66996793|1002|4|Nigel|Caldwell|2002/10/14|Female|Approved
100080|36181992|1005|5|Quinlan|Salas|1989/09/24|Female|Pending
100081|20576510|1007|2|Burke|Coffey|1995/08/06|Female|Pending
100082|35208518|1001|4|Merrill|Sanchez|2003/05/05|Male|Approved
100083|47259552|1002|2|Gil|Harding|1985/12/10|Male|Approved
100084|58400560|1005|3|Bruno|Daniel|1987/06/11|Male|Pending
100085|35447209|1007|2|Tad|Woodward|1999/10/01|Female|Approved
100086|15853803|1009|4|Ferris|Taylor|1983/06/28|Male|Pending
100087|45920867|1001|2|Jakeem|Wyatt|1981/04/21|Male|Pending
100088|39769641|1002|3|Elijah|Cline|1980/02/03|Female|Approved
100089|29074650|1005|5|Ulysses|Cross|1986/08/12|Male|Pending
100090|69980725|1007|1|Brendan|Atkinson|1997/03/08|Male|Approved
100091|50125391|1009|2|Donovan|Pope|2004/08/01|Male|Pending
100092|48605713|1001|3|Marsden|Puckett|2004/08/29|Female|Pending
100093|38761783|1002|4|Thor|Mcintosh|1986/05/30|Female|Approved
100094|12821168|1005|5|Lee|House|1984/12/13|Female|Approved
100095|48469592|1007|2|Travis|Woods|1981/12/09|Female|Pending
100096|12818240|1009|4|Ulric|Massey|1984/03/29|Male|Approved
100097|29639582|1001|1|Kamal|Ford|1996/03/09|Male|Pending
100098|67975198|1002|2|Ahmed|Tyler|1980/07/07|Female|Pending
100099|48451772|1005|3|Tucker|Trevino|2002/04/04|Male|Approved
