officer_id|first_name|last_name|email|authorized_status|admin_id
1000|Rajah|Ortiz|Curabitur.massa.Vestibulum@aliquetodio.com|No|1
1001|Fritz|Kim|Nulla.interdum@semvitaealiquam.org|Yes|2
1002|Branden|Kent|lacus.Nulla.tincidunt@utnullaCras.net|Yes|4
1003|Malachi|Mathis|felis.purus@dictumeleifendnunc.ca|No|4
1004|Dolan|Williams|ullamcorper@orciUt.com|No|5
1005|Coby|Hogan|eros@nec.org|Yes|2
1006|Trevor|Bates|luctus.vulputate.nisi@Integertincidunt.org|No|2
1007|Neil|Benjamin|amet.luctus.vulputate@elitsedconsequat.ca|Yes|3
1008|Bernard|Fitzgerald|felis.purus@Nullafacilisis.co.uk|No|4
1009|Caleb|Tyler|pretium@risusInmi.com|Yes|5
